Sentence_Preprocessed,Emotion
seriously hate one subject death feel reluctant drop,fear
im full life feel appalled,anger
sit write start dig feeling think afraid accept possibility might make,fear
ive really angry r feel like idiot trusting first place,joy
feel suspicious one outside like rapture happened something,fear
feel jealous becasue wanted kind love true connection two soul wanted,anger
friend mine keep telling morbid thing happened dog,anger
finally fell asleep feeling angry useless still full anxiety,anger
feel bit annoyed antsy good way,anger
feel like regained another vital part life living,joy
feel bit like franz liebkind producer many people know fuhrer terrific dancer,joy
feeling start didnt want move much really glad experience glimpse sort vibrant energy gain year,joy
bitten dog,fear
always find feeling thankful year gathered trick allow feel grateful face moment last thing want say thanks,joy
try talk anyone feel irritable like,anger
feel like hated since,anger
dont know wrote following little note feel today u r offended following posting obviously lived long enough compromised act believe,anger
feel offended choose tell guy feel treated guy friend would want put stop nonsense,anger
remember feeling belong smart enough cool enough even young enough,joy
feel like redeem even though think realized distraught ok,fear
hope next quote able let special someone know im feeling insecure understand matter much trust,fear
feel much better without help ice,joy
sitting typing wondering belong feeling distracted feeling comfortable feeling misunderstood hurt,anger
still feel little shaky time move slightly odd jade hair particular seems prone generally work well spencer writing,fear
stropped bit feeling grumpy missing,anger
feeling shall go mad,anger
happpy get good result field academic athletics,joy
got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity,joy
im feeling deeply overwhelmed ordinary task,fear
feel grouchy irritable im sick,anger
feel heart shaky time,fear
expect feel content,joy
feel amused absurdity,joy
end getting unwanted attention boy want little ill sort starting something boy find flirtiing others presence ill feel really insincere around boy like,anger
couldnt help feeling little bit bitter towards great big happy grin,anger
go back point easy sell getting folk feel really virtuous dont want anyway,joy
im feeling bit sociable although dont think ill able express everything want say,joy
would feel joyful,joy
certain situation felt neglected undeservedly harmed,anger
felt good feel fine today,joy
looked happened u two generation looked happened two three instead feeling outraged history aggression felt privileged,anger
im feeling slightly optimistic,joy
feel hateful hollow yes hear many smith day,anger
im still feeling indecisive im polling yall p,fear
sometime back another girl term exboyfriend came shout twelve midnight thought still interested boy,anger
id start feeling resentful lived part country sun stubbornly refuse show end september,anger
feel fucked day,anger
confess feeling nervous made way event venue,fear
really worried would feel intimidated monica met morning incredibly welcoming made feel relaxed straight away,fear
sick cold amp feeling well wondering would even able patience go whitleys month photo shoot,joy
feel like bit obnoxious picture posting,anger
feel morally outraged furious often like,anger
feel pissed friend didnt offer soda,anger
feel heart treading dangerous territory,anger
feel frightened,fear
know pleasant feel selfish saying think would fallen apart,anger
feel shafted greedy,anger
crappy week still feeling agitated like day wanted,fear
feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger
feel reluctant leave alone like without helping enough repay goodness,fear
ashamed feel like moment see terrified cry child dead one,fear
wake morning voice throat feel ok afternoon scratchy sound like marge simpson night bad throat sore whisper,joy
ive always nervous something like feel like really talented enter something official contest,joy
feel bit pissed went first,anger
feel satisfied knowing dirt hair longer car house,joy
really like special edition really feel special song,joy
would accept gift without feeling mad,anger
feel hesitant since experience programming,fear
feeling particularly bitchy dont think adequately expressed appreciation,anger
feel confused,fear
im professor look like spitball friend dying cry pillow night feel dangerous tickle jealousy luring lair,anger
feel rushed finish million thing able focus task separately,anger
feel tortured,anger
dunno feel completely happy real world taught struggle going thru nothing close struggle,joy
feel like taken role grandmother since beloved grandma longer,joy
fear people ask feeling reluctant talk thing,fear
would smiled except starting feel like uptight comment jaw would fall right head,fear
feel comfortable around,joy
feel completely unsure boundary normalcy,fear
think feel gratitude think kind gracious heavenly father,joy
im feeling really really left somewhat dissatisfied everything,anger
simply said sorry got car got house feeling restless,fear
feeling weird feel wan na know,fear
incredible feeling frantic despair,fear
feel reluctant sell hey,fear
take long sip feel cold sensation iced capp,anger
feeling pressured even longest race one expected,fear
also hope understand feel angry dont support hat rule turn school event sans hat,anger
remember feeling terrified ever felt entire life still affecting ive never thought accounted trauma,fear
confess feeling still couldnt bring scared losing,fear
im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,anger
pray eye read mind comprehend heart feel offended,anger
im afraid going feel like lot people group part feel like would cool small group hang,joy
possibility failed examination,fear
feel thankful part country train outdoors late year bundle wear several layer,joy
feeling rather grouchy morning since didnt sleep last night purpose,anger
feel like earthquake also shaken foundation life work,fear
might able recreate feeling get back cold fog awaits tomorrow night,anger
woke feeling positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,joy
would go straight point rather defination romance feeling anger feeling suspicious feeling,fear
feel bitchy mean terrible,anger
feel envious keep post regular interesting wish could feel way,anger
feel like try stay faithful possible perceives real event happened mountain,joy
feel assaulted new kid whined,fear
ive long road initially feeling like rude turning food made brought sometimes eating stuff gluten free looked delicious even maybe wasnt felt good eating really mediocre wedding cake example,anger
wanted make sure didnt feel rushed getting century college friday afternoon,anger
id kick gear feel irritable motivation ever,anger
feel much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island,joy
feeling father already convinced,joy
feel im bothered,anger
p could sit beat im feeling far rebellious today basically im feeling angry world time,anger
im totally feeling bitchy resentful,anger
drove class feeling little apprehensive still sweat,fear
feel wronged,anger
feel weird feel like wan na curse everything bang head onto wall world back focus,fear
feel suspicious wrinkle prevention beauty product reason,fear
feel see frantic thus afraid,fear
feeling grumpy today,anger
feel gotten know student pretty well talk parent drop student day,joy
cant help feel suspicious everything,fear
say make difference parent open easy talk teacher really feel perfect fit child,joy
feel little bit frightened islam,fear
im feel terrific,joy
feel like insecurity good thing first started writing pictured,joy
even deep feeling alaska cold snowy yet big open land pine tree mountain im destined live southern california,anger
feel like shy much taking mother described,fear
feel like time anyone get ring intimidated arm leg dont even really try,fear
im feeling cranky cantankerous resentful like house slave basically almost mother know rely heavily either alcohol marijuana separation divorce get space sanity away maternal responsibility,anger
going crazy thank god craving fruit chocolate made go cold gross wind blowing neck feeling mad angry crappy,anger
im convinced make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel like emotionless pit self craving attention,joy
begun feel apprehensive thick black rain cloud stormed sky town,fear
think pop automatically seeing picture people make feel insecure,fear
shut door feel triumphant,joy
could even feel cold breath neck whispered hertha ran finger across side neck,anger
feel like life gave plenty change shine pissed every one,anger
feeling grumpy woman problem grumpy five year old want get way kind grumpy think difference,anger
feel like im back element pleased surrounded adorable tiny garment,joy
know feel tortured reading,anger
