Tweet_Preprocessed,Intensity Class
ryanair site crash everytime try book help tell there nothing wrong amp hang furious helpless simoncalder,-3: very negative emotional state can be inferred
theme week ask lord strength amp perspective persevere integrity effort despite disheartened amp disappointed,-2: moderately negative emotional state can be inferred
f announcing late hard make manchester organising day sad,-3: very negative emotional state can be inferred
greatest happiness seeing someone like stay happy daidouji tomoyo cardcaptor sakura,3: very positive emotional state can be inferred
omg grateful education ive back school two day back hurt im exhausted breaking already,1: slightly positive emotional state can be inferred
smile make life beautiful,3: very positive emotional state can be inferred
mashable reason filled delight see auntie laugh,2: moderately positive emotional state can be inferred
lovemyffajacket facetime still annoy,1: slightly positive emotional state can be inferred
shouldve cut moment started hurting,-2: moderately negative emotional state can be inferred
vesciodiana forgot laughter well,1: slightly positive emotional state can be inferred
maidinaustralia thats horrid hug,-2: moderately negative emotional state can be inferred
badday went youtube watched domoandcrissy reaction old pic thanks lady laugh,2: moderately positive emotional state can be inferred
wtf shawty as,-3: very negative emotional state can be inferred
domconlon amazing isnt im big fan bampw life restoration give photograph awe inspiring,2: moderately positive emotional state can be inferred
didnt know chickfila cow day thing ended showed min late looking like cow sandwich sadness,-1: slightly negative emotional state can be inferred
bbcworld course didnt sarcasm,-2: moderately negative emotional state can be inferred
thatradiogeek tremendous thing wake read man glad hear need way people helping,0: neutral or mixed emotional state can be inferred
thingsivelearned wise shepherd never trust flock smiling wolf teamfollowback fact wisewords,0: neutral or mixed emotional state can be inferred
medium focused bad news forget much greatgood thing happen daily thinkpositive goodnews optimism goodmorning,1: slightly positive emotional state can be inferred
whiskurmew happy birthday beautiful hope today lovely wonderful astounding deserve le,3: very positive emotional state can be inferred
alright alex party boy neighbor blast music,0: neutral or mixed emotional state can be inferred
happy amazon prime day primer,1: slightly positive emotional state can be inferred
praddy sir need umbrella today evening sun seems stronger pave way cloud,-2: moderately negative emotional state can be inferred
nah governor call someone bum amp love call communist montclair cry,0: neutral or mixed emotional state can be inferred
dmme kikme sext horny as bbw naughty pussy kik nude girl horny snap jacobgigs,-1: slightly negative emotional state can be inferred
miserable as weather dark gloomy depressing weekoff wheresthesun,-3: very negative emotional state can be inferred
bbcbreaking mistrust medical profession cover important patient,-2: moderately negative emotional state can be inferred
u depressed hypo manic lonely bored nofriends needfreinds friend feel chatty wan na help ppl makefriend dm mom,-2: moderately negative emotional state can be inferred
anxious dont know worry slowly going mad hahahahahahahahaha,0: neutral or mixed emotional state can be inferred
opebbles one sadly,-3: very negative emotional state can be inferred
throw stone complain stumble climb build william arthur ward inspiring,0: neutral or mixed emotional state can be inferred
joysparklebs able sit much solid info others came ready kill true sign strength inspiring,1: slightly positive emotional state can be inferred
happy birthday brother another mother officialcedi dis year blessing break itz,3: very positive emotional state can be inferred
neobrainless lot pretty coloured blob sugar mean im willing try im sure understand point,0: neutral or mixed emotional state can be inferred
feel like watching glee glee make cry im trying remember happy time,0: neutral or mixed emotional state can be inferred
went bed fell asleep niece started cry im dying,-3: very negative emotional state can be inferred
aleeshakitchen sink twenty one pilot,1: slightly positive emotional state can be inferred
wonderful boy garden grew wisdom stature favour god men literally parentsnvss,0: neutral or mixed emotional state can be inferred
blackest abyss despair alonzo,-3: very negative emotional state can be inferred
ha ha love flat description marlie packer default setting combat mode brilliant ndavidflatman marliepacker wrwc,3: very positive emotional state can be inferred
redvelvet wendy seulgi irene yeri joy n member drink sparkling water,0: neutral or mixed emotional state can be inferred
get feeling eurosportuk itvcycling might reviewing showing stage full poor robhatchtv nedboulting dull,-2: moderately negative emotional state can be inferred
bloggerlinds wishing joy day joy happiness empowerri,3: very positive emotional state can be inferred
ruthharvey happy bday ruth hope amazing day x,3: very positive emotional state can be inferred
one moron driving oversize tonka truck big flag bed back forth blaring country music disappointment,-3: very negative emotional state can be inferred
feel bad meatball really know mean vetoad ironic bb,-1: slightly negative emotional state can be inferred
theellenshow follow bc tv show keep laughing startle guest sitting couchbooo,3: very positive emotional state can be inferred
piersatpenn thank dear emily wonderful share love emily happy moment beautiful friend,3: very positive emotional state can be inferred
united airline newark need kiosk people wont miss cut time hire ppl horrible,-3: very negative emotional state can be inferred
need little learning live happily michel de montaigne quote philosophy wisdom wisewords mentalhealth psychology anxiety,1: slightly positive emotional state can be inferred
hatzepueh dont call creepy he handsome adorable nicest shark ever ok zora buuuuuut look like shark,0: neutral or mixed emotional state can be inferred
iaindale lbc word worse moist opinion scrape ugh shudder,-2: moderately negative emotional state can be inferred
kyliespearsxo happy birthday beautiful kylie,2: moderately positive emotional state can be inferred
one na bit odd looking isnt pointy alien asked nperhaps hell wonderful he steve pile v,1: slightly positive emotional state can be inferred
jacksepticeye grass growing simulator offended,-2: moderately negative emotional state can be inferred
silverstein th time seeing guy today cancel meet greet storm soaked dissapointed,-3: very negative emotional state can be inferred
logicispowerful bad support right offend,0: neutral or mixed emotional state can be inferred
